Dataset,Motif,Rows,Share
Meta,rapid_fanout_after_inflow,1604,14.35%
Meta,mule_collector,587,5.25%
Meta,scatter_gather_laundering,70,0.63%
Meta,pass_through_relay,390,3.49%
Meta,peeling_chain_like,1529,13.68%
Meta,victim_drain_then_cashout,28,0.25%
Meta,service_like_false_positive,6971,62.36%
ZipZap,rapid_fanout_after_inflow,8927,18.81%
ZipZap,mule_collector,2597,5.47%
ZipZap,scatter_gather_laundering,2256,4.75%
ZipZap,pass_through_relay,4473,9.42%
ZipZap,peeling_chain_like,2081,4.38%
ZipZap,victim_drain_then_cashout,4,0.01%
ZipZap,service_like_false_positive,27122,57.15%
Illicit-ETH,rapid_fanout_after_inflow,2868,21.32%
Illicit-ETH,mule_collector,1478,10.99%
Illicit-ETH,scatter_gather_laundering,149,1.11%
Illicit-ETH,pass_through_relay,825,6.13%
Illicit-ETH,peeling_chain_like,1049,7.80%
Illicit-ETH,victim_drain_then_cashout,21,0.16%
Illicit-ETH,service_like_false_positive,7060,52.49%
EPSD-Ponzi,rapid_fanout_after_inflow,3183,24.26%
EPSD-Ponzi,mule_collector,732,5.58%
EPSD-Ponzi,scatter_gather_laundering,309,2.36%
EPSD-Ponzi,pass_through_relay,1128,8.60%
EPSD-Ponzi,peeling_chain_like,785,5.98%
EPSD-Ponzi,victim_drain_then_cashout,0,0.00%
EPSD-Ponzi,service_like_false_positive,6982,53.22%
